ERROR:root:(08/31 12:00:09) /pyapp/scripts/craigslist_san_angelo.py failed and is attempting to recover: Command '['python3', '/pyapp/scripts/craigslist_san_angelo.py', 'craigslist_san_angelo.py', '/pyapp', 'record player']' returned non-zero exit status 1.
ERROR:root:(08/31 12:00:09) /pyapp/scripts/filter_csv.py failed and is attempting to recover: Command '['python3', '/pyapp/scripts/filter_csv.py', 'filter_csv.py', '/pyapp', 'record player']' returned non-zero exit status 1.
ERROR:root:(08/31 12:00:09) /pyapp/scripts/filter_csv.py failed and is attempting to recover: Command '['python3', '/pyapp/scripts/filter_csv.py', 'filter_csv.py', '/pyapp', 'record player']' returned non-zero exit status 1.
ERROR:root:(08/31 12:00:09) /pyapp/scripts/filter_csv.py failed and is attempting to recover: Command '['python3', '/pyapp/scripts/filter_csv.py', 'filter_csv.py', '/pyapp', 'record player']' returned non-zero exit status 1.
ERROR:root:(08/31 12:00:09) /pyapp/scripts/filter_csv.py failed and is attempting to recover: Command '['python3', '/pyapp/scripts/filter_csv.py', 'filter_csv.py', '/pyapp', 'record player']' returned non-zero exit status 1.
ERROR:root:(08/31 12:00:09) /pyapp/scripts/filter_csv.py failed and is attempting to recover: Command '['python3', '/pyapp/scripts/filter_csv.py', 'filter_csv.py', '/pyapp', 'record player']' returned non-zero exit status 1.
ERROR:root:(08/31 12:00:09) /pyapp/scripts/filter_csv.py failed and is attempting to recover: Command '['python3', '/pyapp/scripts/filter_csv.py', 'filter_csv.py', '/pyapp', 'record player']' returned non-zero exit status 1.
ERROR:root:(08/31 12:00:09) /pyapp/scripts/filter_csv.py failed and is attempting to recover: Command '['python3', '/pyapp/scripts/filter_csv.py', 'filter_csv.py', '/pyapp', 'record player']' returned non-zero exit status 1.
ERROR:root:(08/31 12:00:09) /pyapp/scripts/filter_csv.py failed and is attempting to recover: Command '['python3', '/pyapp/scripts/filter_csv.py', 'filter_csv.py', '/pyapp', 'record player']' returned non-zero exit status 1.
ERROR:root:(08/31 12:00:09) /pyapp/scripts/filter_csv.py failed and is attempting to recover: Command '['python3', '/pyapp/scripts/filter_csv.py', 'filter_csv.py', '/pyapp', 'record player']' returned non-zero exit status 1.
ERROR:root:(08/31 12:00:09) /pyapp/scripts/filter_csv.py failed and is attempting to recover: Command '['python3', '/pyapp/scripts/filter_csv.py', 'filter_csv.py', '/pyapp', 'record player']' returned non-zero exit status 1.
ERROR:root:(08/31 12:00:09) /pyapp/scripts/filter_csv.py failed and is attempting to recover: Command '['python3', '/pyapp/scripts/filter_csv.py', 'filter_csv.py', '/pyapp', 'record player']' returned non-zero exit status 1.
ERROR:root:(08/31 12:00:09) Max retries reached for script /pyapp/scripts/filter_csv.py: Command '['python3', '/pyapp/scripts/filter_csv.py', 'filter_csv.py', '/pyapp', 'record player']' returned non-zero exit status 1.
